Running BrowserMob Proxy using LittleProxy implementation. To revert to the legacy implementation, run the proxy with the command-line option '--use-littleproxy false'.
[INFO  2022-07-05T21:29:03,487 net.lightbody.bmp.proxy.Main] (main) Starting BrowserMob Proxy version 2.1.4 
[INFO  2022-07-05T21:29:03,522 org.eclipse.jetty.util.log] (main) jetty-7.x.y-SNAPSHOT 
[INFO  2022-07-05T21:29:03,742 org.eclipse.jetty.util.log] (main) started o.e.j.s.ServletContextHandler{/,null} 
[INFO  2022-07-05T21:29:03,855 org.eclipse.jetty.util.log] (main) Started SelectChannelConnector@0.0.0.0:8080 
[INFO  2022-07-05T21:29:04,835 org.littleshoot.proxy.impl.DefaultHttpProxyServer] (qtp664186542-16) Starting proxy at address: 0.0.0.0/0.0.0.0:8081 
[INFO  2022-07-05T21:29:04,851 org.littleshoot.proxy.impl.DefaultHttpProxyServer] (qtp664186542-16) Proxy listening with TCP transport 
[INFO  2022-07-05T21:29:05,227 org.littleshoot.proxy.impl.DefaultHttpProxyServer] (qtp664186542-16) Proxy started at address: /0:0:0:0:0:0:0:0:8081 
[WARN  2022-07-05T21:29:07,583 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) Cannot decode unsupported content encoding type br 
[WARN  2022-07-05T21:29:07,583 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2022-07-05T21:29:07,848 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2022-07-05T21:29:07,849 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2022-07-05T21:29:07,851 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-3) Cannot decode unsupported content encoding type br 
[WARN  2022-07-05T21:29:07,851 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-0) Cannot decode unsupported content encoding type br 
[WARN  2022-07-05T21:29:07,851 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-3) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
